listing_id,date,num_reviews,reviewers
25351694,2025-09-01,3,"522572996,286352564,522572996"
25351694,2025-07-01,3,"702258524,692955141,705520333"
25351694,2025-03-01,1,303411544
25351694,2025-01-01,1,4660610
25351694,2025-05-01,3,"337890937,495680928,4660610"
25351694,2025-10-01,1,386776636
25351694,2025-06-01,1,119685795
25351694,2025-04-01,1,52407255
25351694,2024-12-01,2,"83002354,4660610"
1023556,2025-08-01,1,709960600
1023556,2025-06-01,2,"22470499,368193293"
1023556,2025-04-01,1,235625239
40501095,2025-02-01,1,655625453
40501095,2025-01-01,1,33362753
40501095,2024-11-01,1,523308279
24706725,2025-07-01,2,"592947619,229157622"
24706725,2025-06-01,2,"21110874,22156116"
24706725,2024-12-01,3,"576771072,31526725,308860532"
24706725,2025-02-01,1,54646104
20040341,2025-09-01,2,"13389722,717326501"
20040341,2025-07-01,1,171216464
20040341,2025-05-01,1,477138481
20040341,2025-03-01,2,"141258551,33269950"
20040341,2025-01-01,1,532556288
20040341,2025-08-01,1,335984771
20040341,2025-06-01,1,349546928
20040341,2025-02-01,1,31740625
20040341,2024-12-01,1,140492767
20040341,2025-04-01,1,119912794
38698555,2025-10-01,1,73816001
38698555,2025-09-01,1,442239562
38698555,2025-08-01,1,317021137
38698555,2025-07-01,1,85879049
38698555,2025-06-01,2,"197034624,417196945"
38698555,2025-05-01,2,"256555587,4729279"
38698555,2025-04-01,1,493844552
38698555,2025-01-01,3,"555438515,671229279,437545674"
38698555,2024-12-01,1,463654428
38698555,2024-11-01,1,310142894
35335812,2025-03-01,1,681896561
35335812,2025-02-01,1,96953743
24659286,2024-12-01,1,667403878
24659286,2025-05-01,1,345286720
40200705,2024-12-01,1,509370506
23577364,2025-07-01,2,"51484942,491399158"
23577364,2025-05-01,2,"143677376,450239644"
23577364,2025-03-01,2,"493141880,327310378"
23577364,2025-02-01,1,669671022
37613831,2024-12-01,1,461186034
37613831,2025-09-01,1,133958494
37613831,2025-06-01,1,133958494
37613831,2025-05-01,1,9866165
31922701,2025-09-01,2,"443544278,373942811"
31922701,2025-07-01,2,"508932213,106355553"
31922701,2025-05-01,6,"658056881,83601907,51342979,694439066,108486215,78375203"
31922701,2025-03-01,4,"537876,573549684,29831649,42105242"
31922701,2024-11-01,3,"77848127,67693499,573549684"
31922701,2025-01-01,2,"39033317,38297182"
31922701,2025-08-01,1,66662562
31922701,2025-06-01,2,"53756074,214130839"
31922701,2024-12-01,5,"13409081,268061313,77389119,62431532,35932135"
31922701,2025-02-01,1,202954359
31922701,2025-04-01,3,"51792824,83415583,573549684"
34251626,2025-01-01,1,15196251
14938797,2024-12-01,4,"22393459,170337920,376761042,268986638"
14938797,2024-11-01,12,"650939481,585070821,273368827,386610135,371432416,371432416,656116788,371432416,34927037,6413714,447474616,528099227"
14938797,2025-01-01,5,"382506257,21795891,439121340,371432416,28709042"
41372291,2025-08-01,1,21917770
41372291,2025-07-01,3,"177906170,419471558,694616070"
41372291,2025-06-01,2,"175724887,46196385"
41372291,2025-05-01,3,"46196385,131142317,102123476"
41372291,2025-04-01,2,"23181478,534989864"
41372291,2025-03-01,3,"177906170,164077175,677244592"
41372291,2025-02-01,3,"54620807,504252549,78183263"
41372291,2025-01-01,1,177906170
41372291,2024-12-01,2,"134353416,196082825"
41372291,2024-11-01,1,474926072
40535840,2025-10-01,2,"382777687,382777687"
40535840,2025-09-01,3,"208158865,157558546,519514147"
40535840,2025-08-01,1,312808920
40535840,2025-07-01,6,"429673804,513138315,369748178,706534857,707984591,671928903"
40535840,2025-06-01,2,"698430081,408167184"
40535840,2025-03-01,2,"682067580,682952234"
40535840,2025-02-01,3,"421223373,662688961,675829851"
40535840,2024-12-01,1,498991209
40535840,2025-01-01,5,"361379772,323516860,667773024,463871232,58707306"
40535840,2025-05-01,4,"55566847,536201820,369748178,453283504"
29367839,2024-11-01,1,510186726
29367839,2025-02-01,1,678057696
17350714,2025-01-01,1,483640060
22872353,2025-07-01,1,250829067
22872353,2025-04-01,2,"161813102,403317497"
22872353,2024-12-01,1,187208344
22872353,2024-11-01,2,"17387470,588918180"
33026502,2025-09-01,4,"346412256,346412256,718594429,588856221"
33026502,2025-07-01,2,"491059193,137364880"
33026502,2025-06-01,2,"491825627,491825627"
41520513,2025-04-01,2,"74943786,661174269"
41520513,2025-02-01,2,"283769727,443211987"
41520513,2025-01-01,4,"191826604,4200440,120255912,120255912"
41520513,2024-11-01,1,656105574
10912864,2025-01-01,1,2318626
10912864,2025-04-01,2,"73071287,26409325"
34732114,2025-01-01,1,3087252
37855786,2024-11-01,1,433603224
37855786,2025-08-01,1,569005558
37855786,2025-06-01,1,146241767
13226148,2025-09-01,1,191515698
13226148,2024-12-01,1,547126573
40573041,2025-01-01,1,282682994
40573041,2025-05-01,1,519643834
40573041,2025-06-01,2,"98056499,42615830"
15779578,2025-02-01,1,224023875
15779578,2025-05-01,1,22770783
34826445,2025-01-01,1,586532808
16581745,2025-06-01,1,133086451
32777516,2024-12-01,1,96804254
34646333,2025-07-01,1,312796470
34646333,2025-05-01,2,"666378617,691867324"
34646333,2025-03-01,1,113550126
34646333,2024-12-01,1,185432857
41759384,2024-11-01,1,277818917
41479803,2025-08-01,1,696177795
41479803,2025-02-01,1,342110242
14535080,2025-05-01,1,693818877
14535080,2025-04-01,1,504130663
14535080,2025-01-01,1,166239102
14535080,2024-11-01,1,596414752
906958,2025-07-01,1,221480355
906958,2025-03-01,2,"46033486,46033486"
906958,2024-11-01,1,221480355
12184015,2025-09-01,2,"355333248,337361601"
12184015,2025-08-01,1,398249009
12184015,2025-07-01,1,179932781
12184015,2025-06-01,1,269089535
12184015,2025-04-01,2,"83401676,83401676"
12184015,2025-03-01,1,282036121
12184015,2025-01-01,1,290740256
12184015,2024-11-01,1,227089848
2868580,2025-08-01,2,"10022069,155063516"
2868580,2025-04-01,1,45308180
2868580,2025-02-01,1,16488498
2868580,2024-12-01,1,220213018
34107982,2025-09-01,1,51288255
34107982,2025-08-01,1,99129320
34107982,2025-07-01,2,"704594810,341366345"
39630135,2025-06-01,1,496130152
39630135,2025-01-01,1,32907812
39630135,2024-12-01,1,24768271
39630135,2024-11-01,2,"653471160,567875862"
31821799,2025-10-01,1,722074238
31821799,2025-09-01,4,"717241379,232471179,650947808,232471179"
31821799,2025-08-01,2,"264619645,77128705"
31821799,2025-07-01,2,"442872217,181545032"
31821799,2025-05-01,1,32636378
31821799,2025-04-01,2,"232471179,232471179"
31821799,2025-03-01,1,232471179
31821799,2025-01-01,1,181545032
41678881,2024-11-01,1,106013529
33034007,2025-06-01,2,"216057622,518930792"
9462637,2025-09-01,2,"551230589,551230589"
9462637,2025-07-01,1,363061243
9462637,2025-06-01,1,339097226
9462637,2025-01-01,1,521858112
20450514,2025-09-01,1,694467350
20450514,2025-08-01,1,14328255
20450514,2025-07-01,2,"6233029,223191090"
20450514,2025-04-01,2,"53464764,53464764"
22710436,2025-09-01,1,5303017
22710436,2025-08-01,1,285592487
22710436,2025-07-01,1,132200076
22710436,2025-06-01,1,5303017
22710436,2025-04-01,1,198900840
22710436,2025-03-01,1,5303017
22710436,2024-12-01,1,245871
16668617,2025-05-01,1,127215811
16668617,2025-03-01,1,111636655
16668617,2025-01-01,2,"213746339,18016582"
16668617,2025-06-01,1,161024851
16668617,2025-04-01,1,462216623
16668617,2025-02-01,2,"379976618,680693069"
16668617,2024-12-01,1,188746056
41725548,2025-09-01,1,701307798
41725548,2025-07-01,2,"361890720,90630980"
41725548,2025-06-01,2,"164601036,866978"
41725548,2025-05-01,2,"488732750,139078484"
41725548,2025-02-01,2,"83494741,43445860"
41725548,2025-01-01,2,"151955776,478849747"
41725548,2024-12-01,1,93613446
41725548,2024-11-01,1,57411374
4336990,2024-12-01,1,142476770
30308601,2024-11-01,1,656304520
30308601,2024-12-01,1,418424708
30308601,2025-08-01,1,221813531
33162454,2025-06-01,1,662498165
33162454,2025-05-01,1,398414248
33162454,2025-03-01,2,"279985030,491797759"
33162454,2025-01-01,1,391653714
33162454,2024-12-01,1,433823846
33162454,2024-11-01,2,"663302455,664230222"
33027529,2025-06-01,2,"155249919,155249919"
33027529,2025-05-01,1,155249919
33027529,2024-12-01,1,598504341
28650254,2025-06-01,1,689260027
28650254,2025-03-01,1,669920339
28650254,2025-02-01,1,44007988
28650254,2025-01-01,1,401555446
28650254,2024-12-01,1,419721001
28650254,2024-11-01,1,42501913
39643823,2025-08-01,1,302936890
39643823,2025-03-01,1,135020886
39643823,2024-12-01,2,"598417068,233565326"
33036430,2025-01-01,1,545985085
33036430,2024-12-01,3,"667715625,402781827,402781827"
20969232,2025-06-01,2,"65940010,65940010"
20969232,2025-05-01,1,65940010
20969232,2025-04-01,1,493316874
20969232,2025-01-01,1,254191017
20969232,2024-11-01,1,65940010
36695083,2024-12-01,1,483780536
33204777,2025-03-01,1,68520497
33204777,2025-02-01,1,453647734
33204777,2024-11-01,1,490507674
33204777,2025-01-01,1,661880190
3669802,2025-07-01,1,383019632
3669802,2025-06-01,2,"231932030,461667691"
3669802,2025-05-01,3,"5868108,308204676,264004861"
3669802,2025-04-01,2,"314729896,667226193"
3669802,2025-03-01,6,"72884849,75177265,409604533,503908724,683439178,102817305"
3669802,2024-12-01,1,5868108
37580790,2024-12-01,1,16475655
18401756,2025-07-01,1,47999490
18401756,2025-03-01,6,"12387696,12327206,542071970,680952368,368917319,212931020"
18401756,2024-11-01,2,"380416046,225176994"
18401756,2025-06-01,1,48139293
18401756,2025-02-01,3,"356480779,18823054,57935262"
18401756,2025-09-01,2,"392681892,1281475"
18401756,2025-05-01,2,"20797178,16199854"
18401756,2025-01-01,2,"119259336,188855443"
18401756,2025-08-01,1,593043159
18401756,2025-04-01,2,"434104851,364828001"
39644624,2025-08-01,3,"232409980,171234597,86721435"
39644624,2025-07-01,2,"700013028,23000704"
39644624,2025-06-01,1,8366423
39644624,2025-05-01,1,103419170
39644624,2025-03-01,1,543762862
39644624,2025-01-01,3,"369117034,277450157,491019330"
39644624,2024-12-01,2,"233565326,30454623"
39644624,2024-11-01,1,22474632
37856904,2024-12-01,2,"860731,13996316"
37856904,2024-11-01,1,73770338
37856904,2025-01-01,1,8989508
41969367,2025-06-01,1,134589323
41969367,2025-01-01,1,774595
41969367,2024-12-01,2,"666297206,131193541"
41969367,2024-11-01,1,548566628
